node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
11002767,10038558,intermediary_of,intermediary of,,,,Panama Papers
11002767,10039169,intermediary_of,intermediary of,,,,Panama Papers
11002824,10205345,intermediary_of,intermediary of,,,,Panama Papers
11002824,10203542,intermediary_of,intermediary of,,,,Panama Papers
11002824,10172222,intermediary_of,intermediary of,,,,Panama Papers
11002824,10157839,intermediary_of,intermediary of,,,,Panama Papers
11002824,10158679,intermediary_of,intermediary of,,,,Panama Papers
11002824,10162826,intermediary_of,intermediary of,,,,Panama Papers
11002824,10163649,intermediary_of,intermediary of,,,,Panama Papers
11002824,10159028,intermediary_of,intermediary of,,,,Panama Papers
11002824,10158943,intermediary_of,intermediary of,,,,Panama Papers
11002824,10158735,intermediary_of,intermediary of,,,,Panama Papers
11002824,10158734,intermediary_of,intermediary of,,,,Panama Papers
11002824,10158733,intermediary_of,intermediary of,,,,Panama Papers
11002824,10136621,intermediary_of,intermediary of,,,,Panama Papers
11002824,10130358,intermediary_of,intermediary of,,,,Panama Papers
11002824,10131780,intermediary_of,intermediary of,,,,Panama Papers
11002824,10135597,intermediary_of,intermediary of,,,,Panama Papers
11002824,10123920,intermediary_of,intermediary of,,,,Panama Papers
11002824,10123030,intermediary_of,intermediary of,,,,Panama Papers
11002824,10117995,intermediary_of,intermediary of,,,,Panama Papers
11002824,10115596,intermediary_of,intermediary of,,,,Panama Papers
11002824,10051193,intermediary_of,intermediary of,,,,Panama Papers
11002824,10048102,intermediary_of,intermediary of,,,,Panama Papers
11002824,10048141,intermediary_of,intermediary of,,,,Panama Papers
11002824,10045181,intermediary_of,intermediary of,,,,Panama Papers
11002824,10047463,intermediary_of,intermediary of,,,,Panama Papers
11002824,10047016,intermediary_of,intermediary of,,,,Panama Papers
11002824,10043990,intermediary_of,intermediary of,,,,Panama Papers
11002807,10010628,intermediary_of,intermediary of,,,,Panama Papers
11002807,10114680,intermediary_of,intermediary of,,,,Panama Papers
11002846,10192816,intermediary_of,intermediary of,,,,Panama Papers
11002846,10191825,intermediary_of,intermediary of,,,,Panama Papers
11002846,10191826,intermediary_of,intermediary of,,,,Panama Papers
11002846,10071022,intermediary_of,intermediary of,,,,Panama Papers
11002846,10055751,intermediary_of,intermediary of,,,,Panama Papers
11002846,10053947,intermediary_of,intermediary of,,,,Panama Papers
11002846,10049101,intermediary_of,intermediary of,,,,Panama Papers
11002846,10048362,intermediary_of,intermediary of,,,,Panama Papers
11002846,10050148,intermediary_of,intermediary of,,,,Panama Papers
11002846,10044425,intermediary_of,intermediary of,,,,Panama Papers
11002984,10210490,intermediary_of,intermediary of,,,,Panama Papers
11002984,10210679,intermediary_of,intermediary of,,,,Panama Papers
11002984,10211979,intermediary_of,intermediary of,,,,Panama Papers
11002984,10209252,intermediary_of,intermediary of,,,,Panama Papers
11002984,10148142,intermediary_of,intermediary of,,,,Panama Papers
11002984,10170376,intermediary_of,intermediary of,,,,Panama Papers
11002984,10159405,intermediary_of,intermediary of,,,,Panama Papers
11002984,10159861,intermediary_of,intermediary of,,,,Panama Papers
11002984,10166882,intermediary_of,intermediary of,,,,Panama Papers
11002984,10161623,intermediary_of,intermediary of,,,,Panama Papers
11002984,10161419,intermediary_of,intermediary of,,,,Panama Papers
11002984,10140323,intermediary_of,intermediary of,,,,Panama Papers
